date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:39:52	146385/146385	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Jun%202025%2005:04:53%20GMT	https://cafe-nine-fifty/home	G:/hotels/rahi%20cafe/cafe-nine-fifty/home.html	(from )
17:39:52	20/20	---MCZ	200	added ('OK')	text/plain	date:Sun,%2022%20Jun%202025%2023:30:31%20GMT	https://cafe-nine-fifty/robots.txt		(from )
17:39:53	171806/171806	---M-Z	200	added ('OK')	text/css	etag:%223c9659cdef3ce7e24db71758c2308f75%22	https://cdn.prod.website-files.com/67b83dd4545a3f3f932c754c/css/brewfye-template.webflow.e4ef8d24c.css	G:/hotels/rahi%20cafe/cdn.prod.website-files.com/67b83dd4545a3f3f932c754c/css/brewfye-template.webflow.e4ef8d24c.css	(from https://cafe-nine-fifty/home)
17:39:53	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	G:/hotels/rahi%20cafe/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://cafe-nine-fifty/home)
17:39:55	130989/130989	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Jun%202025%2016:35:38%20GMT	https://cafe-nine-fifty/checkout	G:/hotels/rahi%20cafe/cafe-nine-fifty/checkout.html	(from https://cafe-nine-fifty/home)
17:39:55	104758/104758	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Jun%202025%2011:59:45%20GMT	https://cafe-nine-fifty/menu	G:/hotels/rahi%20cafe/cafe-nine-fifty/menu.html	(from https://cafe-nine-fifty/home)
17:39:55	144388/144388	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Jun%202025%2011:59:56%20GMT	https://cafe-nine-fifty/about	G:/hotels/rahi%20cafe/cafe-nine-fifty/about.html	(from https://cafe-nine-fifty/home)
17:39:56	6427/6427	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2023%20Jun%202025%2012:09:55%20GMT	https://cafe-nine-fifty/shop	G:/hotels/rahi%20cafe/cafe-nine-fifty/shop	(from https://cafe-nine-fifty/home)
17:39:56	97895/97895	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Jun%202025%2008:19:29%20GMT	https://cafe-nine-fifty/blog	G:/hotels/rahi%20cafe/cafe-nine-fifty/blog.html	(from https://cafe-nine-fifty/home)
17:39:56	88439/88439	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Jun%202025%2008:19:32%20GMT	https://cafe-nine-fifty/blog/ten-tell-tale-signs-you-need-to-get-a-new-startup-101fa	G:/hotels/rahi%20cafe/cafe-nine-fifty/blog/ten-tell-tale-signs-you-need-to-get-a-new-startup-101fa.html	(from https://cafe-nine-fifty/home)
17:39:57	88701/88701	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Jun%202025%2008:19:13%20GMT	https://cafe-nine-fifty/contact	G:/hotels/rahi%20cafe/cafe-nine-fifty/contact.html	(from https://cafe-nine-fifty/home)
17:39:57	90735/90735	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Jun%202025%2011:08:37%20GMT	https://cafe-nine-fifty/product/espresso1	G:/hotels/rahi%20cafe/cafe-nine-fifty/product/espresso1.html	(from https://cafe-nine-fifty/home)
17:39:58	77551/77551	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Jun%202025%2008:19:20%20GMT	https://cafe-nine-fifty/privacy-policy	G:/hotels/rahi%20cafe/cafe-nine-fifty/privacy-policy.html	(from https://cafe-nine-fifty/home)
17:39:59	28375/28375	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Jun%202025%2023:51:27%20GMT	https://cafe-nine-fifty/404	G:/hotels/rahi%20cafe/cafe-nine-fifty/404.html	(from https://cafe-nine-fifty/home)
17:39:59	88216/88216	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Jun%202025%2008:19:26%20GMT	https://cafe-nine-fifty/utilities/style-guides	G:/hotels/rahi%20cafe/cafe-nine-fifty/utilities/style-guides.html	(from https://cafe-nine-fifty/home)
17:40:00	78625/78625	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Jun%202025%2003:03:01%20GMT	https://cafe-nine-fifty/utilities/licenses	G:/hotels/rahi%20cafe/cafe-nine-fifty/utilities/licenses.html	(from https://cafe-nine-fifty/home)
17:40:00	74120/74120	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Jun%202025%2008:19:36%20GMT	https://cafe-nine-fifty/utilities/changelog	G:/hotels/rahi%20cafe/cafe-nine-fifty/utilities/changelog.html	(from https://cafe-nine-fifty/home)
